Date,open,high,low,close,volumn,amt,avgprice,preClose,return,Turnover,PB,PE,Market,AvgMarket,AmountPCT,Dividend
2009/3/3,1310.31,1372.71,1309.62,1360,429000000,3934000000,9.51,1352.9,0.0052,0.031,3.51,40.86,1124.63,21.63,0.0349,0.0031
2009/3/4,1362.34,1430.83,1361.73,1430.58,587000000,5579000000,10,1360,0.0519,0.0424,3.69,42.98,1182.99,22.75,0.0334,0.0029
2009/3/5,1440.59,1449.38,1393.35,1420.19,635000000,5972000000,9.94,1430.58,-0.0073,0.0459,3.67,42.67,1174.39,22.58,0.0305,0.003
2009/3/6,1394.01,1419.3,1375.78,1396.59,598000000,5500000000,9.79,1420.19,-0.0166,0.0432,3.6,41.96,1154.88,22.21,0.0394,0.003
2009/3/9,1390.19,1409.05,1333.61,1333.89,567000000,5020000000,9.39,1396.59,-0.0449,0.041,3.44,40.08,1103.03,21.21,0.0368,0.0031
2009/3/10,1315.45,1357.94,1315.45,1357.85,349000000,3016000000,9.59,1333.89,0.018,0.0252,3.5,40.8,1122.84,21.59,0.0333,0.0031
2009/3/11,1372.78,1381.64,1340,1356.33,418000000,3599000000,9.52,1357.85,-0.0011,0.0302,3.5,40.75,1121.59,21.57,0.0313,0.0031
2009/3/12,1349.94,1356.92,1300.08,1341.19,434000000,3320000000,9.48,1356.33,-0.0112,0.0313,3.47,40.3,1109.06,21.33,0.0343,0.0031
2009/3/13,1344.22,1345.12,1312.63,1316.59,392000000,3170000000,9.39,1341.19,-0.0183,0.0283,3.4,39.56,1088.72,20.94,0.0338,0.0032
2009/3/16,1308.67,1321.92,1287.87,1321.92,335000000,2598000000,9.45,1316.59,0.0041,0.0242,3.42,39.72,1093.13,21.02,0.0319,0.0032
2009/3/17,1323.52,1375.25,1319.18,1370.73,577000000,4619000000,9.79,1321.92,0.0369,0.0417,3.54,41.13,1134.09,21.81,0.0314,0.0031
2009/3/18,1373.46,1397.52,1368.67,1378.11,603000000,4907000000,9.84,1370.73,0.0054,0.0435,3.57,41.35,1140.19,21.93,0.0284,0.003
2009/3/19,1378.78,1425.77,1374.05,1425.77,689000000,5816000000,10.1,1378.11,0.0346,0.0498,3.69,42.78,1179.63,22.69,0.0346,0.0029
2009/3/20,1428.8,1431.97,1390.8,1416.81,673000000,5817000000,10.05,1425.77,-0.0063,0.0486,3.67,42.51,1172.21,22.54,0.0328,0.003
2009/3/23,1418.12,1481.35,1418.12,1478.01,815000000,7581000000,10.37,1416.81,0.0432,0.0588,3.83,44.34,1222.85,23.52,0.0384,0.0028
